,EState_VSA2,FractionCSP3,HallKierAlpha,Kappa3,MinEStateIndex,SMR_VSA1,SlogP_VSA1,SlogP_VSA3,TPSA,VSA_EState3,VSA_EState5,VSA_EState7,A_weight,A_meltpoint,X_quantity,PCE(%)
0,12.40703316,1,0.25,2.25,0,12.40703316,18.14070064,0,26.02,0,0,0,44.056,75,3,1
1,30.12718648,0,0.69,0.139275362,0,23.97664013,30.12718648,0,36.5,0,0,0,31.057,75,3,1
2,5.959554569,0,-0.89,62.39670622,-0.333333333,0,11.46733495,0,99.68,14.68364198,-0.333333333,0,31.057,20.3,3,1
3,24.34066691,0.142857143,-2.36,3.589443414,-0.582358277,19.06280028,0,9.473725908,52.6,0,-1.164716553,2.909815714,31.057,20.3,3,1
4,81.30082699,0,2.341948052,0.768943006,0,68.89379383,68.89379383,0,0,0,0,0,44.056,167,3,1
5,23.97664013,1,0.69,2.69,0,23.97664013,29.7103076,0,26.02,0,0,0,31.057,20.3,3,1
6,12.40703316,0,-0.24,17.64888889,0,17.81631677,23.54998424,0,51.61,4.5,0,1,44.056,167,3,1
7,0,0,1.502077922,3.502077922,-0.972222222,0,0,0,0,0,0,0,31.057,20.3,3,0
8,0,0,1.502077922,3.502077922,-0.972222222,0,0,0,0,0,0,0,31.057,20.3,4,1
9,0,0.666666667,-0.57,62.33858726,-0.833333333,9.901064579,5.733667477,4.794537184,63.32,7.416666667,-0.833333333,0,31.057,20.3,5,0
10,0,0.8,-0.53,0.734423082,0.291666667,4.794537184,0,4.794537184,20.31,0,0.291666667,1.811342593,44.056,167,3,1
11,6.15054635,0,-0.33,6.883957759,0,0,6.15054635,12.62878915,60.29,8.467592593,0,0,44.056,167,3,0
12,0,0,-0.73,0.173734284,-0.833333333,4.794537184,11.46733495,0,69.11,0,0,0,31.057,20.3,3,1
13,12.30080996,0.333333333,-2.82,5.086225314,-0.498331916,19.00512605,9.473725908,4.736862954,57.65,0.780600435,0.64896143,3.817195452,31.057,20.3,3,1
14,5.969305288,0.4,-0.79,1.977754319,-0.347222222,9.531400138,0,9.531400138,26.3,0,-0.347222222,0,44.056,167,3,1
15,0,0,0.658701299,2.658701299,-2.77,5.734113599,0,0,0,0,0,0,51.996,2130.15,3,0
16,5.969305288,0.4,-0.79,1.977754319,-0.347222222,9.531400138,0,9.531400138,26.3,0,-0.347222222,0,31.057,20.3,3,1
17,12.96557803,0.666666667,-0.57,3.43,-0.835648148,9.901064579,5.733667477,4.794537184,63.32,7.833472222,-0.835648148,0.069444444,51.996,2130.15,3,0
18,0,0.833333333,-0.61,4.286691532,-0.933313492,9.901064579,11.46733495,4.794537184,89.34,8.325077475,-0.933313492,2.164166667,51.996,2130.15,3,0
19,6.544756406,0.5,-0.57,3.43,-0.967592593,9.901064579,5.733667477,4.794537184,63.32,7.597222222,-0.967592593,0,51.996,2130.15,3,0
20,30.39746175,0.8,0.16,11.62926266,-0.737546296,9.901064579,5.733667477,4.794537184,63.32,8.099288549,-0.737546296,1.759259259,31.057,20.3,3,0
21,10.82998094,0.6,-0.98,2.576613217,-0.01775463,5.106527395,0,10.82998094,20.23,10.38449074,0.463518519,0,31.057,20.3,3,1
22,0,1,-0.04,7.96,1.1171875,5.733667477,5.733667477,0,27.64,0,0,8.327968396,31.057,20.3,3,0
